,scaler,mean_absolute_mean,mean_standard_deviation,global_minimum,global_maximum
0,original,103.43124876549807,30.293960889488215,0.0,1851.4413757324219
1,standard,2.835855007611422e-16,1.0,-8.388139643963521,15.042479698980522
2,min_max,0.5029863657436022,0.11685994291925168,0.0,1.0
3,robust,0.6149765179597961,3.281191754776702,-100.14999252058871,58.0
